attraction_id,name,category,latitude,longitude,avg_duration_hours,avg_cost,outdoor,popularity_score,best_season,accessibility,tourist_density,safety_rating
89,Viharamahadevi Park,mountain,6.183776,81.472464,4.7,1110,True,0.58,3,0.8,0.8,0.93
90,Dehiwala Zoo,beach,9.594269,81.866403,4.9,3321,True,0.58,1,0.73,0.73,0.8
91,Mount Lavinia Beach,national_park,6.33367,80.6823,1.6,4014,True,0.57,1,0.89,0.75,0.89
92,Dutch Hospital Shopping,waterfall,7.361995,80.185709,5.4,2176,True,0.89,1,0.94,0.47,0.93
93,Pettah Market,cultural,9.506109,81.705878,2.6,5715,False,0.58,3,0.82,0.73,0.84
94,Red Mosque,adventure,8.618008,80.422084,4.8,7364,True,0.89,2,0.76,0.7,0.81
95,Jami Ul Alfar Mosque,historical,7.708424,80.348045,4.1,1083,False,0.89,3,0.84,0.66,0.81
96,St. Anthony's Church,historical,8.250849,80.150298,2.1,1071,False,0.88,3,0.85,0.7,0.83
97,St. Mary's Church,mountain,9.31898,80.823811,2.2,3584,True,0.82,2,0.95,0.51,0.87
98,Nallur Kovil,waterfall,9.682666,81.521085,5.3,4015,True,0.7,1,0.6,0.48,0.89
99,Nagadeepa Temple,adventure,9.6125,79.7743,4.0,6267,True,0.88,2,0.73,0.55,0.79
100,Thiruketheeswaram Kovil,beach,9.620799,80.954819,2.5,5537,True,0.77,3,0.64,0.72,0.85
101,Koneshwaram Temple,cultural,9.142349,80.238665,5.2,7759,False,0.58,3,0.74,0.5,0.76
102,Embekke Devalaya,adventure,8.319207,81.189791,2.5,1522,True,0.56,2,0.81,0.7,0.86
103,Lankatilaka Temple,national_park,9.426219,80.335813,3.8,6377,True,0.69,3,0.78,0.73,0.91
104,Gadaladeniya Temple,city,9.513692,80.681079,2.7,3943,False,0.89,1,0.72,0.53,0.87
105,Aluvihare Rock Temple,national_park,7.995327,80.604286,4.1,3502,True,0.79,1,0.91,0.64,0.88
106,Ridi Viharaya,temple,8.247548,80.037238,5.2,3088,False,0.67,2,0.63,0.5,0.84
107,Alu Vihara,city,9.387447,79.808996,3.0,2911,False,0.58,3,0.82,0.48,0.92
108,Kalutara Temple,beach,6.979823,81.434883,4.9,1883,True,0.62,3,0.92,0.54,0.9
109,Kande Viharaya,mountain,8.710013,79.649619,2.2,1498,True,0.79,3,0.78,0.66,0.77
110,Seema Malaka,city,7.281172,80.453193,2.0,6030,False,0.61,3,0.71,0.53,0.82
111,Isurumuniya Temple,temple,8.2990,80.4037,4.6,6418,True,0.72,3,0.8,0.74,0.86
112,Ruwanwelisaya,temple,8.2897,80.4036,2.8,3223,True,0.78,2,0.69,0.65,0.82
113,Thuparamaya,temple,8.3130,80.4030,2.2,2344,True,0.61,3,0.63,0.77,0.76
114,Jetavanaramaya,temple,8.3441,80.4037,3.3,7867,True,0.59,2,0.8,0.82,0.75
115,Abhayagiri Dagaba,cultural,8.3526,80.3960,4.5,7470,False,0.74,2,0.7,0.76,0.79
116,Sri Maha Bodhi Tree,cultural,8.3445,80.3965,4.8,4473,False,0.8,2,0.7,0.68,0.78
117,Tissawewa Lake,historical,7.150505,80.925319,3.2,3907,False,0.74,2,0.95,0.58,0.91
118,Parakrama Samudra,beach,6.441417,79.506506,2.0,4048,True,0.76,3,0.72,0.82,0.92
119,Kandy Lake,temple,6.384759,81.254082,5.7,1859,False,0.57,2,0.62,0.76,0.92
120,Beira Lake,adventure,6.686347,79.892774,2.2,6609,True,0.78,2,0.92,0.58,0.87
121,Dambulla Market,temple,9.084738,80.553924,3.2,3970,False,0.66,3,0.75,0.68,0.82
122,Matale Spice Gardens,wildlife,7.974244,79.659886,2.5,4571,False,0.7,3,0.82,0.58,0.78
