user_id,budget,available_days,distance_preference,num_travelers,activity_type,season,start_latitude,start_longitude,selected_attractions,total_time_hours,total_budget
54,17867.54,2,54.14,1,cultural,2,7.966255,81.106436,"['73', '60', '64', '71', '48']",12.93,15627.9
55,11543.66,7,167.56,4,beach,1,6.292936,81.198055,"['7', '1', '2', '6', '3', '108', '5', '25', '4', '40', '32', '31']",52.08,7339.37
56,198528.39,1,367.65,1,adventure,2,8.049451,81.200834,"['31', '29', '32', '102', '30']",6.52,163924.81
57,128125.7,2,290.4,2,relaxation,1,8.640679,81.402488,"['83', '81', '90', '3', '64']",11.9,81221.58
58,38406.93,5,235.29,3,cultural,3,7.207819,80.959102,"['15', '34', '33', '16', '17', '36', '18', '67', '73', '70', '59', '48']",29.16,28399.63
59,14996.79,4,485.63,1,cultural,1,7.655372,79.553123,"['17', '16', '48', '36', '15', '34', '73', '64', '18', '33']",21.94,11202.28
60,77005.85,5,294.32,1,adventure,1,7.966592,80.440021,"['92', '42', '87', '98', '31', '29', '32', '40', '30', '47', '50', '102']",28.44,46810.05
61,183217.77,5,404.31,2,relaxation,1,9.193634,80.897658,"['83', '81', '3', '90', '46', '1', '2', '6', '7', '64', '74', '61']",15.37,120261.4
62,133411.16,14,438.05,3,adventure,3,8.528828,80.015131,"['40', '47', '50', '54', '111', '113', '92', '31', '29', '32', '30', '102']",77.31,114789.27
63,121721.92,5,450.1,4,relaxation,2,8.694865,80.549476,"['64', '8', '85', '117', '116', '51', '4', '115', '96', '83', '95', '12']",39.12,94727.4
64,30270.8,4,393.95,1,beach,2,9.143963,81.85313,"['8', '4', '51', '108', '90', '5', '64', '100', '1', '7']",25.96,21457.17
65,15601.79,4,474.01,2,historical,1,8.192008,80.105237,"['83', '46', '96', '81', '95', '36', '10', '34', '64', '14']",28.71,13119.26
66,97656.79,2,478.29,2,wildlife,1,7.620353,81.260692,"['35', '122', '53', '85', '92']",10.7,69900.54
67,430860.94,5,81.96,1,wildlife,1,6.804252,81.415064,"['53', '25', '19', '35', '26', '27', '28', '78', '74', '65', '108', '7']",30.55,349202.39
68,27172.91,4,131.54,2,historical,3,8.488447,80.414641,"['96', '12', '95', '13', '34', '14', '9', '83', '11', '33']",16.39,22746.81
69,79028.37,5,498.5,2,mixed,1,6.656576,80.183646,"['3', '1', '2', '6', '7', '83', '81', '61', '46', '74', '10', '36']",17.84,62538.14
70,130558.08,4,401.35,3,wildlife,2,9.07141,81.79113,"['85', '35', '64', '97', '122', '43', '99', '79', '8', '73']",20.96,98742.47
71,329259.48,10,376.29,2,historical,1,8.47881,81.203772,"['83', '81', '46', '74', '64', '61', '96', '34', '95', '11', '13', '12']",71.93,264646.68
72,134326.2,1,230.97,2,mixed,1,9.749955,80.263104,"['83', '81', '14', '46', '64']",6.36,117379.41
73,145440.15,4,283.75,2,mixed,3,8.567697,80.136887,"['96', '12', '95', '13', '34', '9', '14', '33', '35', '122']",20.5,110550.74
74,257378.0,5,428.64,1,mixed,3,8.970276,80.480978,"['96', '12', '95', '14', '34', '13', '9', '33', '11', '35', '100', '77']",33.24,227484.93
75,128997.48,7,215.45,4,adventure,2,9.560484,79.629356,"['86', '94', '88', '52', '102', '31', '29', '99', '32', '30', '120', '41']",23.9,114600.47
76,78935.24,1,110.66,2,beach,1,9.704721,80.979049,"['100', '90', '104', '8', '98']",6.36,47508.65
77,222838.5,10,303.22,2,wildlife,3,8.409744,79.536511,"['122', '35', '43', '85', '53', '96', '109', '95', '12', '15', '34', '16']",30.53,210945.82
78,43493.21,7,356.82,1,adventure,2,9.374224,81.843576,"['31', '29', '32', '102', '30', '99', '52', '62', '45', '55', '86', '88']",32.59,27902.17
79,66631.17,5,355.53,3,mixed,3,9.442208,80.242756,"['14', '96', '95', '12', '34', '13', '100', '33', '36', '43', '35', '5']",15.09,41064.09
80,48137.43,14,242.2,1,relaxation,1,9.680072,80.960842,"['83', '64', '46', '90', '14', '96', '81', '8', '95', '1', '7', '6']",70.0,36014.71
81,89540.5,3,315.77,4,wildlife,1,8.672626,80.229137,"['85', '35', '122', '43', '83', '92', '104']",9.38,78692.49
82,311897.16,4,66.76,2,historical,1,5.938457,81.126885,"['61', '10', '7', '74', '2', '19', '117', '91', '72', '1']",15.67,228494.8
83,22840.86,4,112.79,1,mixed,3,7.604785,81.192681,"['34', '95', '13', '108', '33', '11', '96', '35', '9', '36']",15.63,13816.29
84,359228.54,4,161.31,1,beach,1,5.908518,81.632991,"['7', '2', '1', '6', '3', '63', '4', '108', '19', '56']",21.45,303336.05
85,130635.53,3,141.11,1,wildlife,3,9.681153,79.592844,"['43', '122', '85', '35', '14', '107', '109']",10.62,101539.79
86,86862.07,7,313.35,1,mixed,2,9.226529,80.256134,"['64', '85', '8', '116', '117', '51', '4', '14', '96', '83', '95', '12']",26.69,64513.25
87,85390.58,4,460.78,4,cultural,1,9.554865,79.9009,"['64', '74', '65', '15', '34', '73', '48', '16', '17', '116']",31.76,61586.01
88,181141.44,5,71.85,4,historical,1,7.730201,80.332224,"['81', '95', '83', '13', '34', '46', '74', '96', '33', '9', '12', '92']",17.11,147994.56
89,157805.6,7,245.1,2,wildlife,3,8.506624,80.047627,"['122', '35', '43', '85', '53', '96', '12', '95', '109', '13', '15', '34']",29.08,142970.0
90,271824.63,3,299.2,2,historical,2,9.21813,80.724047,"['64', '116', '117', '115', '96', '14', '12']",17.85,233782.96
91,322721.05,5,115.2,1,wildlife,1,7.753643,79.962725,"['122', '35', '92', '85', '87', '105', '81', '43', '21', '46', '83', '26']",17.51,269729.96
92,312541.02,5,449.11,4,historical,3,9.658987,79.98016,"['14', '96', '12', '95', '34', '13', '9', '33', '11', '77', '101', '36']",23.42,215139.13
93,41323.95,1,433.15,2,relaxation,3,8.24722,80.875185,"['96', '13', '34', '9', '95']",5.76,28758.12
94,28562.81,4,176.71,2,cultural,1,8.443034,79.823182,"['48', '106', '16', '64', '17', '15', '116', '34', '36', '73']",20.18,19198.53
95,207504.29,4,272.05,3,wildlife,2,6.983496,81.101325,"['85', '35', '53', '117', '32', '31', '29', '30', '73', '122']",19.9,137367.31
96,102740.23,7,366.03,1,wildlife,3,7.631852,79.654377,"['35', '122', '43', '53', '85', '16', '17', '95', '96', '36', '15', '34']",43.56,83208.95
97,28421.09,7,361.32,2,relaxation,3,7.975414,79.757176,"['96', '95', '36', '5', '34', '10', '14', '13', '35', '33', '108', '12']",44.22,18558.3
98,77568.59,3,58.59,1,mixed,3,9.313783,79.954455,"['14', '43', '101', '96', '12', '85', '107']",12.69,59483.41
99,40568.82,4,299.2,2,mixed,2,7.240908,80.973675,"['117', '4', '64', '8', '34', '51', '85', '116', '95', '33']",24.56,32111.56
100,343690.01,7,83.82,2,historical,1,8.223649,80.254911,"['81', '83', '96', '46', '12', '95', '13', '9', '116', '74', '11', '34']",34.12,207153.08
101,132345.31,4,158.94,8,beach,3,8.980798,79.654165,"['100', '5', '118', '108', '109', '107', '56', '8', '96', '14']",13.34,109529.97
102,135492.57,2,479.76,2,cultural,1,9.12245,79.602059,"['74', '65', '64', '15', '34']",12.16,88653.59
103,129107.21,4,417.59,2,wildlife,2,6.901292,79.742133,"['85', '35', '122', '53', '120', '31', '32', '29', '48', '55']",25.31,105333.2
104,114293.12,5,110.51,4,wildlife,1,6.986082,79.729557,"['35', '92', '122', '3', '6', '17', '1', '26', '36', '16', '38', '24']",27.25,69730.26
105,43707.8,2,385.89,2,beach,1,8.121861,80.234542,"['3', '1', '6', '2', '7']",13.34,28073.26
106,112849.54,2,468.88,1,relaxation,1,6.68125,80.493862,"['3', '1', '2', '6', '7']",7.79,106512.85
107,21657.56,5,138.06,4,mixed,1,8.139492,80.201767,"['83', '81', '46', '96', '95', '13', '3', '34', '1', '12', '6', '5']",29.55,18069.22
108,235376.4,4,325.88,4,mixed,3,9.595841,80.384826,"['14', '96', '100', '12', '95', '13', '43', '9', '34', '77']",23.44,191965.14
109,148054.03,1,497.61,6,cultural,3,9.436295,81.894361,"['15', '93', '34', '77', '16']",7.88,133526.28
110,23189.24,2,242.89,2,wildlife,1,7.324972,80.452623,"['35', '92', '122', '53', '85']",15.59,20711.4
111,22660.28,7,205.34,6,adventure,2,9.230661,81.35172,"['102', '29', '31', '32', '30', '52', '45', '99', '62', '64', '86', '40']",42.04,14733.65
112,73532.56,1,373.84,2,historical,2,8.111942,81.658415,"['64', '117', '116', '115', '34']",5.78,66178.12
113,126405.56,10,346.25,1,cultural,1,6.712702,80.56949,"['65', '74', '15', '34', '16', '17', '36', '33', '73', '48', '18', '64']",67.64,104944.73
114,102712.39,1,162.74,2,mixed,2,8.740609,81.65239,"['64', '51', '8', '117', '116']",4.74,80977.26
115,33929.95,1,281.65,2,wildlife,1,5.905531,80.843914,"['53', '35', '7', '1', '2']",6.37,31856.23
116,276517.42,4,81.74,2,mixed,1,8.747293,80.011001,"['83', '81', '46', '116', '85', '96', '43', '12', '101', '14']",13.9,196769.28
117,19955.94,1,115.64,1,cultural,3,8.736332,81.494429,"['77', '70', '93', '64', '121']",4.4,13099.22
118,42888.96,2,312.54,5,beach,2,6.831042,81.70232,"['4', '8', '51', '108', '7']",15.49,31094.72
119,103239.87,1,366.3,4,relaxation,1,6.001331,79.866734,"['1', '6', '3', '2', '7']",3.8,62489.11
120,17587.85,5,99.69,2,beach,2,6.136154,81.148371,"['4', '7', '72', '2', '1', '108', '32', '6', '30', '31', '29', '119']",17.96,12830.13
121,120518.9,4,279.6,2,relaxation,3,8.003794,80.742578,"['13', '95', '9', '96', '34', '11', '12', '33', '35', '36']",31.62,99522.83
122,13906.65,1,317.36,1,adventure,2,6.393455,79.61722,"['31', '32', '29', '55', '120']",6.62,8439.83
123,15933.57,7,216.57,1,cultural,1,6.776565,80.971325,"['16', '17', '36', '48', '15', '34', '73', '18', '119', '25', '33', '64']",46.42,10173.91
124,367305.97,5,300.64,6,cultural,1,6.500434,81.68353,"['65', '74', '15', '71', '34', '73', '33', '67', '18', '119', '16', '17']",24.85,242252.02
125,39097.43,10,143.9,2,wildlife,3,8.361157,80.73352,"['35', '122', '43', '96', '95', '13', '15', '34', '85', '12', '53', '40']",51.2,30445.15
126,134130.84,5,148.84,3,wildlife,2,6.413906,80.419121,"['35', '55', '53', '85', '32', '31', '29', '120', '30', '72', '117', '41']",31.44,89527.0
127,149450.51,2,216.32,1,historical,1,7.67685,80.372001,"['81', '83', '74', '46', '95']",11.24,117759.91
128,71068.79,5,488.43,4,relaxation,3,6.995656,80.854972,"['34', '10', '95', '33', '36', '35', '96', '13', '108', '5', '11', '12']",36.72,49576.99
129,139574.34,1,291.82,1,wildlife,1,8.790317,80.121836,"['85', '122', '35', '43', '104']",7.26,101378.43
130,280992.56,3,126.55,3,wildlife,1,8.613868,80.669928,"['85', '43', '35', '83', '122', '105', '81']",11.9,247466.61
131,100307.05,3,62.6,1,wildlife,1,8.554164,80.093923,"['85', '21', '43', '83', '122', '81', '87']",14.6,86264.8
132,23338.28,5,252.21,2,historical,3,7.916357,79.972047,"['96', '95', '36', '34', '13', '10', '33', '14', '12', '11', '9', '83']",38.82,16963.71
133,142360.27,7,471.09,3,relaxation,1,9.460157,80.618675,"['83', '81', '3', '46', '1', '2', '90', '6', '7', '64', '74', '14']",23.02,132116.27
134,155721.33,3,84.47,2,beach,2,7.013246,80.976123,"['4', '108', '117', '32', '29', '51', '31']",18.17,97189.8
135,122470.95,14,214.43,2,adventure,3,6.947663,81.862598,"['40', '54', '47', '50', '32', '30', '62', '31', '29', '92', '113', '55']",51.13,107670.08
136,426070.98,7,168.58,2,relaxation,3,8.76922,80.148006,"['96', '12', '43', '95', '14', '13', '9', '101', '122', '11', '77', '34']",37.69,402880.18
137,258102.82,3,257.95,2,beach,2,9.559823,79.757756,"['8', '51', '4', '100', '97', '5', '85']",10.09,239661.06
138,28459.83,10,474.42,5,wildlife,3,9.294399,81.170768,"['35', '122', '53', '43', '96', '14', '95', '40', '16', '17', '36', '10']",64.54,19274.28
139,111915.94,2,253.24,4,historical,2,7.967682,80.415526,"['64', '117', '116', '115', '96']",9.98,93795.96
140,279414.39,2,138.12,2,wildlife,2,6.316061,81.014797,"['53', '35', '55', '72', '32']",15.65,223556.32
141,412935.41,4,50.15,6,relaxation,3,9.288991,80.800001,"['100', '77', '101', '64', '14', '111', '43', '12', '93', '96']",30.92,288422.38
142,303668.56,3,262.37,2,historical,3,6.380306,80.417146,"['10', '34', '36', '33', '95', '13', '96']",11.11,254874.4
143,53425.46,7,332.57,2,relaxation,1,9.719009,81.408781,"['83', '90', '81', '46', '64', '1', '3', '7', '2', '6', '14', '96']",27.33,44149.26
144,42683.22,5,153.99,3,wildlife,1,7.964097,81.777456,"['35', '92', '105', '75', '78', '25', '53', '83', '26', '85', '122', '81']",15.63,37016.55
145,102649.85,1,380.58,2,cultural,2,9.237456,81.59943,"['64', '73', '60', '71', '48']",5.94,75269.59
146,131644.8,4,305.35,3,mixed,3,6.306907,79.50344,"['10', '36', '118', '34', '5', '35', '33', '95', '96', '13']",24.55,78998.51
147,39519.46,4,498.43,5,historical,3,6.468019,81.585713,"['10', '34', '95', '36', '96', '33', '13', '11', '12', '67']",22.35,24131.01
148,16308.81,5,406.34,2,cultural,3,7.353736,81.287823,"['16', '17', '15', '34', '36', '18', '33', '73', '48', '70', '64', '121']",19.57,14398.1
149,19711.93,4,283.67,6,mixed,1,6.176134,80.403576,"['1', '2', '6', '7', '3', '10', '83', '61', '36', '46']",30.13,17694.58
150,199460.24,1,219.18,4,adventure,2,7.362661,80.384938,"['31', '29', '32', '120', '41']",3.82,122478.9
151,112463.56,2,66.07,1,historical,3,7.167012,80.73916,"['34', '33', '95', '13', '117']",14.01,91522.11
152,134813.63,4,157.75,2,historical,3,7.406129,79.646832,"['36', '95', '34', '96', '33', '13', '10', '12', '9', '11']",18.61,107479.23
153,47568.28,3,364.51,3,historical,1,6.658769,81.518943,"['61', '83', '81', '74', '46', '34', '10']",14.32,29052.54
154,57732.02,2,286.49,5,mixed,2,7.886667,81.240745,"['64', '117', '8', '51', '4']",15.4,47796.54
155,139777.41,4,56.58,2,cultural,1,7.038447,80.675256,"['74', '34', '15', '33', '65', '26', '73', '16', '28', '27']",22.79,108247.16
156,74382.39,2,224.52,2,cultural,2,8.376165,80.746198,"['64', '73', '60', '48', '106']",11.15,57123.74
157,447409.25,7,324.3,4,adventure,1,8.401801,80.150932,"['92', '87', '42', '98', '94', '88', '47', '31', '29', '32', '86', '50']",26.72,414327.83
158,16353.51,7,63.31,3,wildlife,1,8.915962,81.19355,"['64', '83', '8', '104', '75', '102', '79', '97', '98', '105', '52', '90']",38.0,15311.13
159,146911.65,2,279.32,1,mixed,3,6.800861,80.833911,"['34', '33', '10', '35', '36']",14.29,102835.3
160,33212.89,7,85.09,2,adventure,1,8.394816,80.478411,"['92', '87', '83', '42', '102', '94', '29', '31', '105', '81', '52', '32']",23.17,20876.66
161,97661.96,5,379.19,1,wildlife,1,6.198751,81.806963,"['53', '35', '92', '7', '122', '2', '25', '1', '26', '85', '19', '3']",33.88,69646.3
162,27352.32,2,260.89,2,wildlife,1,9.367438,80.521276,"['85', '104', '43', '35', '122']",7.06,24447.92
163,58227.19,4,149.0,4,relaxation,2,6.436224,79.542288,"['115', '117', '118', '36', '3', '10', '6', '1', '5', '2']",24.43,45939.44
164,256843.29,4,244.48,1,beach,3,6.685067,80.572345,"['5', '108', '56', '118', '63', '3', '1', '2', '7', '6']",13.97,204506.31
165,439899.07,10,94.5,2,mixed,3,8.895551,79.999409,"['43', '96', '12', '101', '14', '95', '122', '85', '13', '9', '116', '77']",50.42,417857.13
166,111298.59,3,204.62,2,mixed,1,6.419038,81.757792,"['7', '2', '1', '61', '3', '6', '74']",17.98,81352.26
167,40624.53,7,213.5,3,mixed,3,9.626375,80.252185,"['14', '96', '95', '12', '13', '34', '100', '43', '36', '5', '33', '64']",50.68,30916.74
168,17638.76,10,68.57,2,historical,2,8.263045,80.686837,"['64', '83', '96', '95', '13', '34', '12', '102', '48', '81', '73', '8']",43.84,12161.49
169,71998.02,10,70.13,2,beach,1,9.376923,79.671426,"['107', '83', '14', '57', '104', '100', '8', '109', '46', '85', '90', '21']",46.8,62590.78
170,12245.48,7,84.87,2,beach,2,7.897106,81.493826,"['8', '4', '73', '108', '29', '102', '31', '32', '30', '64', '48', '5']",23.81,8165.25
171,75334.84,4,378.67,4,mixed,1,8.763808,81.757171,"['83', '81', '90', '3', '1', '7', '2', '6', '46', '64']",27.44,49864.81
172,96332.59,1,314.65,2,mixed,3,7.849923,81.10673,"['34', '13', '9', '96', '11']",7.41,79513.71
173,85010.01,3,347.6,2,beach,3,8.639727,81.138173,"['100', '5', '108', '118', '63', '8', '56']",15.16,54522.78
174,320440.99,1,98.54,2,cultural,2,8.990407,81.177785,"['64', '60', '73', '77', '116']",3.34,281102.7
175,400791.99,3,74.0,2,wildlife,3,9.468717,81.616921,"['93', '100', '43', '111', '98', '77', '99']",19.25,313945.99
176,379413.0,1,487.91,3,relaxation,1,6.255845,79.684864,"['3', '1', '6', '2', '7']",4.07,306050.13
177,445419.72,3,459.97,3,wildlife,2,8.422661,80.429336,"['85', '35', '122', '43', '97', '53', '64']",16.71,357844.85
178,42106.85,2,169.74,4,wildlife,2,7.778651,81.302952,"['85', '35', '73', '31', '117']",12.45,35806.81
179,47045.31,3,50.15,2,relaxation,3,6.625792,80.195423,"['36', '10', '34', '5', '56', '35', '3']",21.01,33024.56
180,118623.6,2,336.22,3,mixed,1,7.717237,81.14683,"['81', '3', '83', '1', '7']",14.24,109215.22
181,136405.31,3,106.92,2,cultural,1,7.816765,79.97047,"['48', '74', '15', '34', '106', '16', '33']",21.56,107057.95
182,252377.69,14,106.65,2,relaxation,2,7.903614,79.847645,"['116', '85', '96', '117', '95', '122', '64', '115', '8', '46', '5', '12']",106.22,179381.51
183,487065.06,5,136.52,2,beach,1,9.320451,79.612353,"['90', '100', '3', '104', '57', '8', '6', '21', '1', '83', '5', '2']",36.17,302101.31
184,67226.48,3,427.1,3,wildlife,1,6.84077,81.410761,"['35', '53', '122', '92', '85', '25', '26']",13.29,54443.94
185,70889.1,1,216.23,1,mixed,2,7.399042,79.814501,"['117', '115', '64', '116', '85']",5.15,66790.86
186,22631.71,7,246.37,1,cultural,3,9.108321,80.924343,"['16', '17', '15', '34', '36', '64', '121', '33', '18', '48', '73', '70']",37.25,16177.77
187,245783.19,14,344.41,2,relaxation,3,6.415234,81.538631,"['10', '34', '108', '33', '63', '95', '36', '53', '35', '13', '67', '96']",63.27,175318.0
188,23336.79,10,100.21,1,mixed,3,8.020582,80.426563,"['95', '96', '13', '34', '36', '5', '12', '83', '33', '35', '14', '10']",73.22,20384.73
189,62839.62,4,456.55,2,beach,1,8.913945,80.469321,"['3', '1', '2', '6', '7', '90', '8', '5', '100', '108']",31.07,43155.23
190,15318.09,5,117.13,1,cultural,1,7.998578,80.018845,"['48', '16', '17', '36', '15', '34', '106', '73', '83', '64', '92', '33']",33.83,14403.67
191,447037.85,3,285.21,4,adventure,3,8.149597,81.687347,"['40', '47', '111', '50', '54', '113', '92']",11.72,323398.68
192,87708.32,7,251.25,1,wildlife,1,9.792069,80.534605,"['85', '104', '43', '35', '122', '83', '57', '98', '92', '105', '81', '75']",22.43,82385.34
193,142813.98,10,251.08,2,wildlife,3,9.703796,81.871893,"['35', '43', '122', '53', '85', '93', '100', '14', '96', '111', '95', '12']",79.69,110203.99
194,102006.26,7,115.08,6,adventure,2,6.465747,81.559643,"['62', '30', '32', '31', '29', '55', '45', '40', '41', '114', '120', '102']",56.0,92247.74
195,12229.01,7,301.04,5,historical,1,8.253671,81.148529,"['83', '96', '95', '46', '64', '36', '10', '14', '34', '81', '13', '92']",22.37,8015.19
196,491025.51,3,333.82,2,mixed,2,7.089937,80.457172,"['117', '115', '64', '4', '51', '8', '85']",15.99,386380.48
197,51126.94,7,466.8,2,adventure,3,8.575696,79.553575,"['40', '50', '47', '54', '113', '92', '111', '31', '29', '32', '30', '102']",52.84,30918.85
198,69103.55,1,205.47,2,mixed,2,6.524799,81.368533,"['117', '4', '64', '51', '115']",5.12,43206.26
